school_name,address,mainlevel_code,sap_ind,autonomous_ind,primary_school_LATITUDE,primary_school_LONGITUDE
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1   ,PRIMARY,No,No,1.35790893589535,103.890472887906
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91   ,PRIMARY,No,No,1.34254744877694,103.687950252103
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8   ,PRIMARY,No,No,1.37139548941931,103.883080767491
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21   ,PRIMARY,No,No,1.43347186925064,103.837755319448
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3   ,PRIMARY,No,No,1.34864575840923,103.868595527042
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64   ,PRIMARY,No,No,1.39676600905037,103.750985967346
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51   ,PRIMARY,No,No,1.37793264345276,103.885643682171
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD   ,PRIMARY,No,No,1.43338602975674,103.834087115915
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3   ,PRIMARY,No,No,1.33388930344069,103.932144857355
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24   ,PRIMARY,No,No,1.34280230475033,103.741105772644
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21   ,PRIMARY,No,No,1.35129177656981,103.950461927088
ZHANGDE PRIMARY SCHOOL,51 Jalan Membina   ,PRIMARY,No,No,1.28421153335379,103.825951875662
ZHENGHUA PRIMARY SCHOOL,9 Fajar Road   ,PRIMARY,No,No,1.37954887512229,103.769313521752
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4   ,PRIMARY,No,No,1.36020329705047,103.869762438084
